,name,auc,nums,reca_@precision=0.6,f1_s_@precision=0.6,thre_@precision=0.6,reca_@precision=0.65,f1_s_@precision=0.65,thre_@precision=0.65,reca_@precision=0.7,f1_s_@precision=0.7,thre_@precision=0.7,reca_@precision=0.75,f1_s_@precision=0.75,thre_@precision=0.75,reca_@precision=0.8,f1_s_@precision=0.8,thre_@precision=0.8,reca_@precision=0.85,f1_s_@precision=0.85,thre_@precision=0.85,reca_@precision=0.9,f1_s_@precision=0.9,thre_@precision=0.9,precison_bset,recall_best,thresh_best,f1_score_best
94,截图录屏_小红书截图录屏,0.828575526,20,0,0,0.454541355,0,0,0.454541355,0,0,0.454541355,0,0,0.454541355,0,0,0.454541355,0,0,0.454541355,0,0,0.454541355,0.25,0.05,0.059090377,0.083333333
98,截图录屏_知乎截图录屏,0.883568469,4,0,0,0.211055145,0,0,0.211055145,0,0,0.211055145,0,0,0.211055145,0,0,0.211055145,0,0,0.211055145,0,0,0.211055145,0.166666667,0.25,0.033768823,0.2
105,房产家居_室内改造,0.984670294,64,0.390625,0.476190476,0.39349705,0.390625,0.490196078,0.429859489,0,0,0.997858226,0,0,0.997858226,0,0,0.997858226,0,0,0.997858226,0,0,0.997858226,0.657894737,0.390625,0.43905762,0.490196078
110,搞笑_恶搞,0.882411136,58,0,0,0.884004056,0,0,0.884004056,0,0,0.884004056,0,0,0.884004056,0,0,0.884004056,0,0,0.884004056,0,0,0.884004056,0.263157895,0.172413793,0.167960771,0.208333333
113,搞笑_整蛊,0.941128785,84,0,0,0.92069298,0,0,0.92069298,0,0,0.92069298,0,0,0.92069298,0,0,0.92069298,0,0,0.92069298,0,0,0.92069298,0.20754717,0.261904762,0.119690088,0.231578947
119,教育教学_知识点解题-数学,0.983203377,16,0,0,0.803357363,0,0,0.803357363,0,0,0.803357363,0,0,0.803357363,0,0,0.803357363,0,0,0.803357363,0,0,0.803357363,0.24137931,0.4375,0.056235015,0.311111111
122,教育教学_知识点解题-语文,0.961110633,9,0,0,0.080871806,0,0,0.080871806,0,0,0.080871806,0,0,0.080871806,0,0,0.080871806,0,0,0.080871806,0,0,0.080871806,0.011235955,0.333333333,0.001617436,0.02173913
123,教育教学_职场技能-方言教学,0.865414893,69,0,0,0.265707463,0,0,0.265707463,0,0,0.265707463,0,0,0.265707463,0,0,0.265707463,0,0,0.265707463,0,0,0.265707463,0.033472803,0.115942029,0.007971225,0.051948052
127,文化_文学作品,0.943050659,110,0.027272727,0.052173913,0.364992499,0,0,0.407305658,0,0,0.407305658,0,0,0.407305658,0,0,0.407305658,0,0,0.407305658,0,0,0.407305658,0.275862069,0.145454545,0.065168905,0.19047619
139,最右特色玩法_右龄分享,0.940934314,10,0,0,0.079592511,0,0,0.079592511,0,0,0.079592511,0,0,0.079592511,0,0,0.079592511,0,0,0.079592511,0,0,0.079592511,0.033707865,0.3,0.006367401,0.060606061
143,最右特色玩法_智力解题,0.982586613,9,0,0,0.113523558,0,0,0.113523558,0,0,0.113523558,0,0,0.113523558,0,0,0.113523558,0,0,0.113523558,0,0,0.113523558,0.15,0.333333333,0.018163769,0.206896552
